시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3100000,102,1989,04958,유흥주점영업,19891222,호박관광나이트클럽,서울특별시 노원구 노해로 456, 동방빌딩 지하층 (상계동),서울특별시 노원구 상계동  734번지 4호  동방빌딩,1063.81,20160704,,19980904,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,지하,,,,,,,,,39.00,141.39,108.80,143.36,38.50,,15.76,577.00,,,,,3100000-102-1989-04958,,,,,,내국인,대한민국
3100000,102,1990,04961,유흥주점영업,19900929,무랑루즈 크럽,서울특별시 노원구 동일로 1413, (상계동, 지상2층),서울특별시 노원구 상계동  712번지 0호  지상2층,154.76,20120206,,19980812,상계6.7동,20150406,자진폐업,영업부진으로 경제적 손실,룸살롱,,,,,,,비대상,,,,,,,,,,,6.00,118.06,0.00,25.42,0.00,0.00,5.28,0.00,,,,,3100000-102-1990-04961,,,,,,내국인,대한민국
3100000,102,1991,04962,유흥주점영업,19910112,마이웨이,서울특별시 노원구 동일로 1413, (상계동,지하1층),서울특별시 노원구 상계동  712번지 0호  지하1층,598.54,20150519,,19970912,상계6.7동,20180607,자진폐업,사업부진,룸살롱,,,,,,,비대상,,지하,,,,,,,,,26.75,278.93,15.75,259.71,0.00,0.00,17.40,0.00,,,,,3100000-102-1991-04962,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤에,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20190516,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,랑데뷰,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20190516,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤B1,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20190516,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤에,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20130320,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,랑데뷰,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20130320,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤B1,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20130320,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,05857,유흥주점영업,19990406,토마토,서울특별시 노원구 노해로 494, 지하1층 2,3,4호 (상계동),서울특별시 노원구 상계동  724번지 3호  지하1층 2,3,4호,240.16,20160316,,19991011,상계6.7동,,,,룸살롱,,,,,,,비대상,상수도전용,,0,0,,,,,,,12.37,88.02,0.00,78.12,0.00,20.00,16.57,45.08,,,,,3100000-102-1999-05857,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,신밧드,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20190409,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,시크릿,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20190409,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,뉴캐슬,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20190409,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,신밧드,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20180308,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,시크릿,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20180308,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,뉴캐슬,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20180308,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,신밧드,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20150603,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,시크릿,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20150603,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,뉴캐슬,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20150603,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
3100000,102,1999,06125,유흥주점영업,19990616,밤과음악사이 가요리믹스 노원점,서울특별시 노원구 노해로 451, (상계동, 청산빌딩),서울특별시 노원구 상계동  705번지 2호  청산빌딩,282.66,20121128,(주)밤과음악사이,19990616,상계6.7동,20131211,행정처분,행정처분,고고(디스코)클럽,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,12.28,185.14,0.00,59.37,0.00,10.00,0.00,25.87,,,,,3100000-102-1999-06125,,,,,,내국인,대한민국
3100000,102,1999,06390,유흥주점영업,19991021,그린라이트파티,서울특별시 노원구 노해로 482, (상계동,덕영빌딩 지하1층),서울특별시 노원구 상계동  727번지 0호  덕영빌딩 지하1층,220.01,20160804,,19991023,상계6.7동,20170913,자진폐업,영업부진,카바레,,,,,,,비대상,상수도전용,,0,0,,,,,,,25.95,120.58,0.00,57.75,0.00,10.00,15.73,0.00,,,,,3100000-102-1999-06390,,,,,,내국인,대한민국
3100000,102,1999,06547,유흥주점영업,19991209,고구려룸크럽,서울특별시 노원구 노해로 447, (상계동),서울특별시 노원구 상계동  705번지 0호  ,506.88,20190110,,19991209,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,2,1,,,,,,,34.57,301.21,0.00,171.10,0.00,0.00,0.00,0.00,,,,,3100000-102-1999-06547,,,,,,내국인,대한민국
3100000,102,1999,06547,유흥주점영업,19991209,고구려룸크럽,서울특별시 노원구 노해로 447, (상계동),서울특별시 노원구 상계동  705번지 0호  ,506.88,20160712,,19991209,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,2,1,,,,,,,34.57,301.21,0.00,171.10,0.00,0.00,0.00,0.00,,,,,3100000-102-1999-06547,,,,,,내국인,대한민국
3100000,102,1999,06589,유흥주점영업,19991229,슈퍼모델,서울특별시 노원구 노해로77길 14-3, 지하1층 (상계동, 문화빌딩),서울특별시 노원구 상계동  710번지  문화빌딩 지하1층,,20190212,,19991229,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,18.24,216.24,,,6.96,,,,,,,,3100000-102-1999-06589,,,,,,내국인,대한민국
3100000,102,1999,06589,유흥주점영업,19991229,슈퍼모델,서울특별시 노원구 노해로77길 14-3, 지하1층 (상계동, 문화빌딩),서울특별시 노원구 상계동  710번지  문화빌딩 지하1층,,20141127,,19991229,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,18.24,216.24,,,6.96,,,,,,,,3100000-102-1999-06589,,,,,,내국인,대한민국
3100000,102,2000,06724,유흥주점영업,20000304,청노루,서울특별시 노원구 노해로75길 14-19, (상계동),서울특별시 노원구 상계동  707번지 1호  ,126.00,20150703,,20000304,상계6.7동,,,,룸살롱,,,,,,,비대상,상수도전용,,0,0,,,,,,,2.61,79.51,0.00,38.63,5.25,0.00,0.00,0.00,,,,,3100000-102-2000-06724,,,,,,내국인,대한민국
3100000,102,2000,06842,유흥주점영업,20000426,솜사탕,서울특별시 노원구 노해로75길 20-21, (상계동,2층),서울특별시 노원구 상계동  706번지 1호  2층,160.68,20160405,,20000426,상계6.7동,,,,룸살롱,,,,,,,비대상,상수도전용,,0,0,,,,,,,11.04,98.43,0.00,51.21,0.00,0.00,0.00,0.00,,,,,3100000-102-2000-06842,,,,,,내국인,대한민국
3100000,102,2000,07041,유흥주점영업,20000810,럭셔리,서울특별시 노원구 노해로 457, 은성빌딩 지하1층 (상계동),서울특별시 노원구 상계동  709번지 1호  은성빌딩,176.80,20140627,,20000810,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,16.00,86.52,0.00,0.00,0.00,12.70,4.50,69.78,,,,,3100000-102-2000-07041,,,,,,내국인,대한민국
3100000,102,2001,07455,유흥주점영업,20010328,아일랜드,서울특별시 노원구 노해로77길 22, 3층 (상계동, 노블레스관광호텔),서울특별시 노원구 상계동  711번지 9호  노블레스관광호텔 3층,703.56,20130319,,20010328,상계6.7동,20141216,행정처분,행정처분,룸살롱,3,3,,,,,비대상,,,,,,,,,,,49.63,642.10,0.00,0.00,0.00,0.00,11.83,0.00,,,,,3100000-102-2001-07455,,,,,,내국인,대한민국
3100000,102,2001,07699,유흥주점영업,20010720,애플,서울특별시 노원구 노해로 492, 프린스빌딩 지하1층 (상계동),서울특별시 노원구 상계동  724번지 2호  프린스빌딩,,20161108,,20010720,상계6.7동,,,,룸살롱,,,,,,,비대상,상수도전용,,,,,,,,,,12.11,82.47,,232.80,9.60,,34.05,,,,,,3100000-102-2001-07699,,,,,,내국인,대한민국
3100000,102,2001,07700,유흥주점영업,20011115,비전,서울특별시 노원구 동일로 1393, 지하층 지하2호 (상계동),서울특별시 노원구 상계동  730번지 5호  -지하2,,20130108,,20011115,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,7.25,28.25,,,,10.00,,35.20,,,,,3100000-102-2001-07700,,,,,,내국인,대한민국
3100000,102,2002,00001,유흥주점영업,20020325,에스라인,서울특별시 노원구 노해로77길 14-7, (상계동),서울특별시 노원구 상계동  710번지 2호  ,92.39,20121211,,20020325,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,8.75,34.18,0.00,24.26,0.00,6.00,0.00,25.20,0.00,0.00,,,3100000-102-2002-00001,,,,,,내국인,대한민국
3100000,102,2002,00002,유흥주점영업,20020326,신애플,서울특별시 노원구 노해로 492, (상계동,지하 1층),서울특별시 노원구 상계동  724번지 2호  지하 1층,328.18,20161108,,20020326,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,7.50,254.55,0.00,66.13,0.00,9.00,0.00,0.00,0.00,0.00,,,3100000-102-2002-00002,,,,,,내국인,대한민국
